colname,score,rank
yearsExperience_bin_0,0.0,0
companyId_COMP2,0.0,1
companyId_COMP22,0.0,2
companyId_COMP21,0.0,3
companyId_COMP1,0.0,4
yearsExperience_bin_1,0.0,5
yearsExperience_bin_2,0.0,6
yearsExperience_bin_3,0.0,7
yearsExperience_bin_4,0.0,8
milesFromMetropolis_bin_0,0.0,9
milesFromMetropolis_bin_1,0.0,10
milesFromMetropolis_bin_2,0.0,11
milesFromMetropolis_bin_3,0.0,12
milesFromMetropolis_bin_4,0.0,13
companyId_COMP0,0.0,14
companyId_COMP10,0.0,15
companyId_COMP20,0.0,16
companyId_COMP11,0.0,17
companyId_COMP12,0.0,18
companyId_COMP13,0.0,19
companyId_COMP14,0.0,20
companyId_COMP15,0.0,21
companyId_COMP16,0.0,22
companyId_COMP17,0.0,23
companyId_COMP18,0.0,24
companyId_COMP23,0.0,25
companyId_COMP44,0.0,26
companyId_COMP43,0.0,27
companyId_COMP31,0.0,28
yearsExperience_bin_0-milesFromMetropolis_bin_1,0.0,29
yearsExperience_bin_0-milesFromMetropolis_bin_0,0.0,30
companyId_COMP24,0.0,31
companyId_COMP25,0.0,32
companyId_COMP26,0.0,33
companyId_COMP27,0.0,34
companyId_COMP28,0.0,35
companyId_COMP29,0.0,36
companyId_COMP3,0.0,37
companyId_COMP30,0.0,38
companyId_COMP32,0.0,39
companyId_COMP42,0.0,40
companyId_COMP33,0.0,41
companyId_COMP34,0.0,42
companyId_COMP35,0.0,43
companyId_COMP36,0.0,44
companyId_COMP37,0.0,45
companyId_COMP38,0.0,46
companyId_COMP39,0.0,47
companyId_COMP4,0.0,48
companyId_COMP40,0.0,49
companyId_COMP41,0.0,50
companyId_COMP19,0.0,51
companyId_COMP45,0.0,52
yearsExperience_bin_4-jobType_CFO,0.0,53
companyId_COMP46,0.0,54
companyId_COMP48,0.0,55
companyId_COMP58,0.0,56
companyId_COMP49,0.0,57
companyId_COMP5,0.0,58
companyId_COMP50,0.0,59
companyId_COMP51,0.0,60
companyId_COMP52,0.0,61
companyId_COMP53,0.0,62
companyId_COMP54,0.0,63
companyId_COMP55,0.0,64
companyId_COMP56,0.0,65
companyId_COMP57,0.0,66
companyId_COMP59,0.0,67
jobType_JANITOR,0.0,68
companyId_COMP6,0.0,69
companyId_COMP60,0.0,70
companyId_COMP61,0.0,71
companyId_COMP62,0.0,72
companyId_COMP7,0.0,73
companyId_COMP8,0.0,74
